,years,회사명,stock_code,전년도ESG,종합등급,매출액,영업이익,영업이익(발표기준),당기순이익,지배주주순이익,비지배주주순이익,부채총계,자본총계,지배주주지분,비지배주주지분,자본금,부채비율,유보율,영업이익률,지배주주순이익률,ROA,ROE,EPS(원),BPS(원),DPS(원),PBR,발행주식수,배당수익률,지속가능경영 보고서공시여부,매출액_상승률(퍼센트),영업이익_상승률,배당수익률_상승률,영업이익률_상승률,이사의 수,사외이사 수,사외이사 비율,녹색 기업 지정,총 임원 수,여성 임원 수 ,여성 임원 비율,남성 평균 연봉,여성 평균 연봉,남성 정규직 수,여성 정규직 수,남성 직원 수,여성 직원 수,직원 수,여성 직원 비율,남성 직원 비율,남성 정규직 비율,여성 정규직 비율,외국인 보유수량,외국인 지분율,시가총액,상장주식수,용수 사용량 등급,에너지 총량 등급,온실가스 배출총량 등급,RE100,high_carbon,sbti,자본비율,기업분류,장애인근로자수,장애인고용률,L재무구조,L성장성,L지배구조,L환경,L사회,L사회_등급,L환경_등급,L지배구조_등급,L성장성_등급,L재무구조_등급,업종명
3850,2023,자이에스앤디,317400,C,0,23746,1266,1266,950,407,543,7756,7935,5171,2764,490,97.74,954.79,5.33142423987198,1.71,5.39,8.05,830,10548,150,0.48,38783,2.96,0,-4.21137555465914,-723,-2.02,-2.69197229098724,5,3,0.6,0,15,0,0.0,209000000,143000000,582,114,1483,507,1990,25.47738693,74.52261307,0.392447741,0.224852071,386885,1.0,196627376400,38782520,5,5,5,0,0,0,0.50567167983686,3,0,0.0,11,2,12,15,7,B+,B,B+,D,B+,서비스업
3851,2022,피에스케이,319660,0,C,4609,918,918,774,774,0,1193,3533,3533,0,146,33.78,2315.91,19.91755261445,16.8,17.48,24.11,2647,12197,400,1.26,28967,2.6,0,0.0,-93,0.0,0.0,4,2,0.5,0,20,0,0.0,85000000,67000000,263,71,267,71,338,21.00591716,78.99408284,0.985018727,1.0,3023873,10.44,446087395600,28966714,5,5,5,0,0,0,0.747566652560305,1,0,0.0,9,3,9,15,7,B+,B,C,C,B,기계·장비
3852,2023,피에스케이,319660,D,0,3519,541,541,525,525,0,1018,3926,3926,0,146,25.94,2584.39,15.3736857061665,14.93,10.86,14.08,1813,13552,200,1.55,28967,0.95,0,-23.6493816446084,-377,-1.65,-4.54386690828347,4,2,0.5,0,19,0,0.0,86000000,67000000,255,74,257,75,332,22.59036145,77.40963855,0.992217899,0.986666667,5803390,20.03,609749329700,28966714,5,5,5,0,0,0,0.794093851132686,1,2,0.57,9,1,9,15,5,C,B,C,D,B,기계·장비
3853,2020,HD현대에너지솔루션,322000,0,A,3944,88,88,62,62,0,1295,3287,3287,0,560,39.39,487.04,2.23123732251521,1.58,1.33,1.93,556,29352,200,1.36,11200,0.5,1,0.0,-93,0.0,0.0,5,3,0.6,0,10,0,0.0,71189000,42284000,135,8,160,28,188,14.89361702,85.10638298,0.84375,0.285714286,269251,2.4,446320000000,11200000,1,1,1,0,0,0,0.71737232649498,1,0,0.0,9,3,9,3,4,C,A,C,C,B,전기전자
3854,2021,HD현대에너지솔루션,322000,A,A,5932,95,95,-67,-67,0,2852,3203,3203,0,560,89.05,472.0,1.60148347943358,-1.12,-1.25,-2.05,-594,28600,0,0.75,11200,0.0,1,50.4056795131846,7,-0.5,-0.629753843081633,5,3,0.6,0,9,0,0.0,76569000,34739000,145,19,173,40,213,18.77934272,81.22065728,0.838150289,0.475,105363,0.94,239680000000,11200000,1,1,1,0,0,0,0.528896961690885,2,0,0.0,8,8,10,3,4,C,A,C,B,B,전기전자
3855,2022,HD현대에너지솔루션,322000,A,A,9848,902,902,606,606,0,2713,3815,3815,0,560,71.11,581.31,9.15922014622258,6.15,9.63,17.27,5412,34065,600,1.43,11200,1.23,1,66.0148347943358,807,1.23,7.557736666789,5,3,0.6,0,10,0,0.0,82292000,45147000,166,24,204,44,248,17.74193548,82.25806452,0.81372549,0.545454545,1259906,11.25,546560000000,11200000,1,1,1,0,0,0,0.584405637254902,2,0,0.0,10,11,11,3,5,C,A,B+,A,B,전기전자
3856,2023,HD현대에너지솔루션,322000,A,A,5461,175,175,-29,-29,0,1305,3716,3716,0,560,35.12,563.49,3.20454129280352,-0.52,-0.5,-0.76,-256,33175,0,0.84,11200,0.0,0,-44.5471161657189,-727,-1.23,-5.95467885341907,5,3,0.6,0,11,0,0.0,80423000,47321000,170,31,193,42,235,17.87234043,82.12765957,0.880829016,0.738095238,649234,5.8,313040000000,11200000,5,5,5,0,0,0,0.740091615216093,2,0,0.0,8,1,10,15,4,C,B,C,D,B,전기전자
3857,2021,SK바이오팜,326030,0,A,4186,950,950,648,648,0,1995,4442,4442,0,392,44.91,1034.39,22.6946966077401,15.49,11.34,15.75,828,5672,0,17.14,78313,0.0,1,0.0,-93,0.0,0.0,5,3,0.6,0,16,4,25.0,92000000,67000000,122,123,122,123,245,50.20408163,49.79591837,1.0,1.0,4824081,6.16,7612047900000,78313250,5,5,5,0,0,0,0.690073015379835,2,0,0.0,10,3,11,15,6,B,B,B+,C,B,서비스업
3858,2022,SK바이오팜,326030,0,A,2462,-1311,-1311,-1394,-1394,0,3477,3166,3166,0,392,109.83,708.45,-53.2493907392364,-56.64,-21.32,-36.66,-1780,4042,0,17.84,78313,0.0,1,-41.1849020544673,-2261,0.0,-75.9440873469765,5,3,0.6,0,16,4,25.0,95000000,72000000,140,133,140,133,273,48.71794872,51.28205128,1.0,1.0,5128594,6.55,5646385325000,78313250,5,5,5,0,0,0,0.476663655525444,2,0,0.0,10,1,11,15,5,C,B,B+,D,B,서비스업
3859,2023,SK바이오팜,326030,A,A,3549,-375,-375,-354,-329,-25,4022,3210,2837,373,392,125.32,624.49,-10.5663567202029,-9.27,-5.1,-10.96,-420,3622,0,27.72,78313,0.0,0,44.1510966693745,936,0.0,42.6830340190335,5,3,0.6,0,21,6,28.5714285714286,104000000,73000000,126,122,139,134,273,49.08424908,50.91575092,0.90647482,0.910447761,6212018,7.93,7862650300000,78313250,5,5,5,0,0,0,0.443860619469027,2,0,0.0,10,10,11,15,5,C,B,B+,B+,B,서비스업
