,years,회사명,stock_code,전년도ESG,종합등급,매출액,영업이익,영업이익(발표기준),당기순이익,지배주주순이익,비지배주주순이익,부채총계,자본총계,지배주주지분,비지배주주지분,자본금,부채비율,유보율,영업이익률,지배주주순이익률,ROA,ROE,EPS(원),BPS(원),DPS(원),PBR,발행주식수,배당수익률,지속가능경영 보고서공시여부,매출액_상승률(퍼센트),영업이익_상승률,배당수익률_상승률,영업이익률_상승률,이사의 수,사외이사 수,사외이사 비율,녹색 기업 지정,총 임원 수,여성 임원 수 ,여성 임원 비율,남성 평균 연봉,여성 평균 연봉,남성 정규직 수,여성 정규직 수,남성 직원 수,여성 직원 수,직원 수,여성 직원 비율,남성 직원 비율,남성 정규직 비율,여성 정규직 비율,외국인 보유수량,외국인 지분율,시가총액,상장주식수,용수 사용량 등급,에너지 총량 등급,온실가스 배출총량 등급,RE100,high_carbon,sbti,자본비율,기업분류,장애인근로자수,장애인고용률,L재무구조,L성장성,L지배구조,L환경,L사회,L사회_등급,L환경_등급,L지배구조_등급,L성장성_등급,L재무구조_등급,업종명
1138,2019,녹십자,006280,0,B+,13571,417,417,-113,-36,-77,7752,11841,10487,1353,584,65.47,1755.87,3.0727286124825,-0.27,-0.61,-0.35,-311,92793,1000,1.43,11687,0.75,0,0.0,-93,0.0,0.0,0,0,0.0,0,22,4,18.1818181818182,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1548466285000,11686538,5,5,5,0,0,1,0.604348491808299,3,13,0.64,12,3,9,15,1,,,,,,의약품
1139,2020,녹십자,006280,B+,B+,15041,503,503,893,810,82,8821,12693,11185,1508,584,69.49,1875.31,3.3441925403896,5.39,4.34,7.48,6935,98765,1500,4.11,11687,0.37,0,10.8319210080318,86,-0.38,0.271463927907103,4,1,0.25,0,26,3,11.5384615384615,70000000,62000000,1565,477,1589,487,2076,23.45857418,76.54142582,0.984896161,0.979466119,2270443,19.43,4744734428000,11686538,1,1,2,0,0,1,0.589987914846147,3,13,0.64,13,9,13,4,7,B,A,A,B+,A,의약품
1140,2021,녹십자,006280,B+,B+,15378,737,737,1370,1232,137,9624,14998,12748,2250,584,64.17,2142.7,4.79256080114449,8.01,5.94,10.3,10543,112135,2000,1.94,11687,0.92,0,2.24054251711987,234,0.55,1.44836826075489,4,1,0.25,0,28,3,10.7142857142857,73000000,62000000,1591,502,1640,547,2187,25.01143118,74.98856882,0.970121951,0.91773309,2689991,23.02,2547665284000,11686538,1,1,2,0,0,1,0.609154786564315,3,15,0.72,12,10,12,4,7,B,A,A,A,A,의약품
1141,2022,녹십자,006280,B+,B+,17113,813,813,694,655,40,9589,15666,13281,2385,584,61.21,2234.01,4.75077426517852,3.82,2.78,5.03,5601,116700,1750,1.11,11687,1.35,0,11.2823514111068,76,0.43,-0.041786535965973,4,1,0.25,0,29,2,6.89655172413793,72000000,61000000,1586,519,1712,590,2302,25.62988705,74.37011295,0.926401869,0.879661017,2599065,22.24,1513406671000,11686538,1,1,2,0,0,1,0.620312809344684,3,0,0.0,12,9,12,4,8,A,A,A,B+,B+,의약품
1142,2023,녹십자,006280,B+,B+,16266,344,344,-198,-266,68,11035,15399,13002,2396,584,71.66,2186.29,2.11484077216279,-1.64,-0.77,-2.03,-2279,114314,1500,1.1,11687,1.2,0,-4.94945363174195,-469,-0.15,-2.63593349301573,4,1,0.25,0,27,2,7.40740740740741,72000000,63000000,1550,542,1681,591,2272,26.01232394,73.98767606,0.922070196,0.917089679,2074372,17.75,1466660519000,11686538,5,5,5,0,0,1,0.582567245488594,3,0,0.0,12,2,13,15,8,A,C,A,D,B+,의약품
1143,2019,대원전선,006340,0,C,4013,10,10,-8,-8,0,1092,804,804,0,354,135.94,127.23,0.24919013207077,-0.2,-0.43,-1.01,-12,1136,0,1.03,68107,0.0,1,0.0,-93,0.0,0.0,0,0,0.0,0,9,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,79344854215,68107171,5,5,5,0,0,0,0.424050632911392,1,0,0.0,5,3,6,15,1,,,,,,전기전자
1144,2020,대원전선,006340,C,C,3673,43,43,23,23,0,1066,854,854,0,368,124.89,131.89,1.1707051456575,0.63,1.21,2.79,31,1159,0,0.93,71017,0.0,0,-8.47246449040618,33,0.0,0.921515013586731,4,2,0.5,0,10,0,0.0,57371000,40985000,150,8,150,8,158,5.063291139,94.93670886,1.0,1.0,2313570,3.26,76698324360,71016967,5,5,5,0,0,0,0.444791666666667,1,0,0.0,5,6,9,15,3,C,C,C,B,D,전기전자
1145,2021,대원전선,006340,C,D,4750,23,23,13,13,0,1529,876,876,0,368,174.49,138.04,0.48421052631579,0.27,0.6,1.51,18,1190,0,1.49,71017,0.0,0,29.3220800435611,-20,0.0,-0.686494619341711,4,2,0.5,0,8,0,0.0,62932000,40560000,145,9,145,9,154,5.844155844,94.15584416,1.0,1.0,3020982,4.25,125700031590,71016967,5,5,5,0,0,0,0.364089775561097,1,0,0.0,6,5,10,15,3,C,C,B,C,C,전기전자
1146,2022,대원전선,006340,D,D,5624,13,13,14,14,0,1544,916,916,0,373,168.52,145.62,0.231152204836415,0.24,0.56,1.51,18,1228,0,0.9,71965,0.0,0,18.4,-10,0.0,-0.253058321479374,4,2,0.5,0,10,0,0.0,65104000,45275000,145,8,145,8,153,5.22875817,94.77124183,1.0,1.0,1723200,2.39,79160987400,71964534,5,5,5,0,0,0,0.372357723577236,1,0,0.0,5,5,10,15,3,C,C,B,C,D,전기전자
1147,2023,대원전선,006340,D,0,5154,131,131,96,96,0,1345,1003,1003,0,373,134.11,169.02,2.54171517268141,1.87,4.0,10.02,129,1345,0,0.86,71965,0.0,0,-8.3570412517781,118,0.0,2.310562967845,4,2,0.5,0,10,0,0.0,67474000,51843000,148,7,148,7,155,4.516129032,95.48387097,1.0,1.0,1482796,2.06,83262965838,71964534,5,5,5,0,0,0,0.426990208599404,1,0,0.0,5,7,9,15,2,D,C,C,B,D,전기전자
1148,2019,GS건설,006360,0,A,104166,7673,7673,4475,4434,41,90282,41430,39747,1683,4005,217.91,901.56,7.36612714321372,4.26,3.55,11.79,5535,50078,1000,0.62,80098,3.22,0,0.0,-93,0.0,0.0,0,0,0.0,0,55,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,2487036814200,80097804,5,5,5,0,0,1,0.314549927113703,4,0,0.0,14,3,13,15,3,,,,,,건설업
1149,2020,GS건설,006360,A,A,101229,7504,7504,3297,3117,180,94586,43121,41412,1709,4035,219.35,935.25,7.41289551413133,3.08,2.45,7.68,3862,51763,1200,0.73,80708,3.17,0,-2.81953804504349,-169,-0.0500000000000003,0.0467683709176105,7,4,0.571428571428571,0,51,0,0.0,618000000,370000000,4380,316,5698,652,6350,10.26771654,89.73228346,0.768690769,0.484662577,21990718,27.43,3030762873600,80178912,1,1,3,0,0,1,0.313135860922103,4,0,0.0,15,4,16,5,9,A,B+,A+,C,A,건설업
1150,2021,GS건설,006360,A,A,90366,6465,6465,4288,4085,203,103110,48727,46253,2474,4279,211.61,989.43,7.15423942633291,4.52,2.96,9.32,4773,54472,1300,0.73,85581,3.28,0,-10.731114601547,-1039,0.11,-0.258656087798413,7,4,0.571428571428571,0,53,1,1.88679245283019,525000000,324000000,3691,254,4853,580,5433,10.67550156,89.32449844,0.760560478,0.437931034,21919840,25.61,3389027004000,85581490,1,1,3,0,0,1,0.320916509151261,4,0,0.0,15,3,16,5,9,A,B+,A+,C,A,건설업
1151,2022,GS건설,006360,A,A,122992,5548,5548,4412,3393,1019,115904,53562,48316,5246,4279,216.39,1037.65,4.51086249512163,2.76,2.75,7.18,3964,56882,1300,0.37,85581,6.15,0,36.1042870106013,-917,2.87,-2.64337693121128,7,4,0.571428571428571,0,50,1,2.0,707000000,382000000,3544,262,4790,632,5422,11.65621542,88.34378458,0.739874739,0.414556962,24595595,28.74,1810048513500,85581490,1,1,3,0,0,1,0.316063399147912,5,0,0.0,15,7,17,5,9,A,B+,A+,B,A,건설업
1152,2023,GS건설,006360,A,A,134367,-3879,-3879,-4195,-4819,624,128221,48852,43145,5707,4279,262.47,916.79,-2.88686954386122,-3.59,-2.42,-10.54,-5631,50839,0,0.3,85581,0.0,0,9.2485690126187,-9427,-6.15,-7.39773203898285,7,4,0.571428571428571,0,52,1,1.92307692307692,726000000,410000000,3441,274,4640,616,5256,11.71993912,88.28006088,0.741594828,0.444805195,15684718,18.33,1285433979800,85581490,5,5,5,0,0,1,0.275886216419217,5,0,0.0,15,3,17,15,7,B,C,A+,C,A,건설업
1153,2019,대구백화점,006370,0,B,1015,-142,-142,-193,-199,6,3874,2862,2747,115,541,135.37,490.11,-13.9901477832512,-19.59,-2.8,-6.93,-1837,29505,100,0.2,10822,1.67,0,0.0,-93,0.0,0.0,0,0,0.0,0,6,1,16.6666666666667,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,64821449890,10821611,5,5,5,0,0,0,0.424881235154394,2,0,0.0,6,3,8,15,2,,,,,,유통업
1154,2020,대구백화점,006370,B,B,911,-176,-176,-178,-178,0,2463,2623,2623,0,541,93.89,449.85,-19.3194291986828,-19.54,-3.01,-6.63,-1645,27493,100,0.33,10822,1.09,0,-10.2463054187192,-34,-0.58,-5.32928141543153,3,3,1.0,0,6,1,16.6666666666667,47000000,25000000,76,108,76,117,193,60.62176166,39.37823834,1.0,0.923076923,73955,0.68,98909524540,10821611,5,5,5,0,0,0,0.515628071554944,2,0,0.0,6,1,10,15,6,B,C,B,D,C,유통업
1155,2021,대구백화점,006370,B,C,818,-181,-181,-58,-58,0,2326,2540,2540,0,541,91.55,434.5,-22.1271393643032,-7.13,-1.17,-2.26,-539,26725,100,0.44,10822,0.86,0,-10.2085620197585,-5,-0.23,-2.80771016562041,3,3,1.0,0,6,1,16.6666666666667,57000000,28000000,65,97,65,106,171,61.98830409,38.01169591,1.0,0.91509434,65933,0.61,126071768150,10821611,5,5,5,0,0,0,0.521989313604603,1,0,0.0,7,2,9,15,6,B,C,C,D,C,유통업
1156,2022,대구백화점,006370,C,C,759,-163,-163,-186,-186,0,2389,2314,2314,0,541,103.24,392.72,-21.4756258234519,-24.51,-3.89,-7.66,-1718,24636,50,0.4,10822,0.51,0,-7.21271393643032,18,-0.35,0.651513540851269,3,3,1.0,0,6,1,16.6666666666667,52000000,27000000,57,91,57,98,155,63.22580645,36.77419355,1.0,0.928571429,55242,0.51,106268220020,10821611,5,5,5,0,0,0,0.492026366149266,1,0,0.0,6,6,9,15,6,B,C,C,B,C,유통업
1157,2023,대구백화점,006370,C,0,676,-151,-151,-297,-297,0,2700,1974,1974,0,541,136.75,329.94,-22.3372781065089,-43.86,-6.33,-13.83,-2740,21497,50,0.42,10822,0.55,0,-10.935441370224,12,0.04,-0.861652283056966,3,3,1.0,0,6,1,16.6666666666667,53000000,27000000,54,82,54,89,143,62.23776224,37.76223776,1.0,0.921348315,116031,1.07,98152011770,10821611,5,5,5,0,0,0,0.422336328626444,1,0,0.0,6,6,9,15,6,B,C,C,B,C,유통업
1158,2019,한일현대시멘트,006390,0,B+,3841,352,352,413,413,0,3556,2046,2046,0,841,173.79,143.28,9.16428013538141,10.76,7.45,21.69,2458,12164,1000,2.5,16821,3.28,1,0.0,-93,0.0,0.0,0,0,0.0,0,20,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,512208280500,16821290,5,5,5,0,1,0,0.365226704748304,2,0,0.0,9,3,9,15,3,,,,,,비금속광물
1159,2020,한일현대시멘트,006390,B+,B+,3343,571,571,628,628,0,3071,2559,2559,0,841,120.0,204.23,17.0804666467245,18.78,11.18,27.27,3732,15211,1100,1.95,16821,3.7,1,-12.9653736006248,219,0.42,7.91618651134309,4,1,0.25,0,21,0,0.0,79000000,48000000,404,13,404,13,417,3.117505995,96.882494,1.0,1.0,65627,0.39,499592313000,16821290,1,1,1,0,1,0,0.454610055071949,2,0,0.0,9,8,10,3,5,C,A,B,B,B,비금속광물
1160,2021,한일현대시멘트,006390,B+,B+,3970,359,359,404,404,0,2726,3242,3242,0,889,84.08,264.8,9.04282115869018,10.17,6.96,13.92,2310,18240,1200,1.83,17775,3.6,1,18.7556087346695,-212,-0.1,-8.03764548803432,4,1,0.25,0,22,0,0.0,87774000,53772000,422,15,423,15,438,3.424657534,96.57534247,0.997635934,1.0,56563,0.32,591892015500,17774535,1,1,1,0,1,0,0.543230563002681,2,0,0.0,9,4,10,3,5,C,A,B,C,B,비금속광물
1161,2022,한일현대시멘트,006390,B+,B+,4712,352,352,357,357,0,2852,3639,3639,0,966,78.39,276.54,7.47028862478778,7.58,5.73,10.38,1972,18827,600,0.93,19328,3.43,1,18.6901763224181,-7,-0.17,-1.5725325339024,4,1,0.25,0,19,0,0.0,81185000,44837000,427,14,427,14,441,3.174603175,96.82539683,1.0,1.0,51635,0.27,338234260000,19327672,1,1,1,0,1,0,0.560622400246495,2,0,0.0,8,5,10,3,5,C,A,B,C,C,비금속광물
1162,2023,한일현대시멘트,006390,B+,B+,5047,480,480,351,351,0,4473,3910,3910,0,966,114.41,304.58,9.51060035664751,6.95,4.71,9.29,1814,20229,700,0.77,19328,4.47,0,7.1095076400679,128,1.04,2.04031173185974,4,1,0.25,0,21,0,0.0,92550000,41106000,427,15,430,15,445,3.370786517,96.62921348,0.993023256,1.0,74409,0.38,302478066800,19327672,5,5,5,0,1,0,0.466420135989503,2,0,0.0,8,11,10,15,5,C,C,B,A+,C,비금속광물
1163,2019,삼성SDI,006400,0,A,100974,4622,4622,4024,3565,458,71918,126603,123249,3354,3567,56.81,3451.9,4.57741596846713,3.53,2.05,2.94,5066,180018,1000,1.31,68765,0.42,0,0.0,-93,0.0,0.0,0,0,0.0,0,10,4,40.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,16228429080000,68764530,5,5,5,0,0,1,0.637731020899552,5,0,0.0,16,3,12,15,2,,,,,,전기전자
1164,2020,삼성SDI,006400,A,A,112948,6713,6713,6310,5747,562,81753,133589,129776,3813,3567,61.2,3634.87,5.94344300031873,5.09,3.05,4.54,8166,189291,1000,3.32,68765,0.16,0,11.8584982272664,2091,-0.26,1.3660270318516,7,4,0.571428571428571,1,96,7,7.29166666666667,183000000,141000000,8673,1505,9518,1589,11107,14.30629333,85.69370667,0.911220845,0.947136564,30504335,44.36,43184124840000,68764530,1,1,4,0,0,1,0.620357384996889,5,0,0.0,16,9,15,5,8,A,B+,A,B,A+,전기전자
1165,2021,삼성SDI,006400,A,A,135532,10676,10676,12504,11698,806,106365,151967,147043,4924,3567,69.99,4118.92,7.87710651359089,8.63,5.28,8.45,16621,213823,1000,3.06,68765,0.15,0,19.9950419662145,3963,-0.01,1.93366351327216,7,4,0.571428571428571,1,96,9,9.375,238000000,198000000,8840,1546,9659,1656,11315,14.63543968,85.36456032,0.915208614,0.933574879,31255146,45.45,45040767150000,68764530,1,1,4,0,0,1,0.588262391031696,5,0,0.0,16,9,16,5,8,A,B+,A+,B,A+,전기전자
1166,2022,삼성SDI,006400,A,A,201241,18080,18080,20394,19521,872,130400,172175,164857,7318,3567,75.74,4618.33,8.98425271192252,9.7,7.27,12.52,27736,239134,1030,2.47,68765,0.17,0,48.4822772481776,7404,0.02,1.10714619833163,7,4,0.571428571428571,1,7,1,14.2857142857143,243000000,206000000,9210,1790,10025,1910,11935,16.00335149,83.99664851,0.918703242,0.937172775,32459837,47.2,40639837230000,68764530,1,1,4,1,0,1,0.56903247128811,5,0,0.0,16,10,16,4,8,A,A,A+,A,A+,전기전자
1167,2023,삼성SDI,006400,A,A,227083,16334,16334,20660,20092,568,141316,199073,185114,13959,3567,70.99,5186.2,7.19296468692064,8.85,6.43,11.48,28547,267915,1000,1.76,68765,0.21,0,12.8413196118087,-1746,0.04,-1.79128802500188,6,4,0.666666666666667,1,6,2,33.3333333333333,231000000,192000000,9628,2011,10321,2131,12452,17.11371667,82.88628333,0.932855343,0.943688409,30858606,44.88,32456858160000,68764530,5,5,5,1,0,1,0.584839698110103,5,0,0.0,16,6,16,13,8,A,B+,A+,B,A+,전기전자
1168,2019,인스코비,006490,0,C,758,49,49,-242,-242,0,250,258,254,5,486,96.82,-42.23,6.46437994722955,-31.93,-44.68,-86.0,-255,283,0,10.8,97237,0.0,0,0.0,-93,0.0,0.0,0,0,0.0,0,13,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,297544947660,97236911,5,5,5,0,0,0,0.506876227897839,1,0,0.0,5,3,6,15,4,,,,,,통신업
1169,2020,인스코비,006490,C,C,578,-10,-10,91,93,-2,331,432,429,3,505,76.54,-12.12,-1.73010380622837,16.1,14.31,27.25,92,447,0,4.72,100909,0.0,0,-23.7467018469657,-59,0.0,-8.19448375345793,7,2,0.285714285714286,0,14,0,0.0,337064000,163140000,49,11,49,11,60,18.33333333,81.66666667,1.0,1.0,4001041,3.96,212918192560,100909096,5,5,5,0,0,0,0.566929133858268,1,0,0.0,5,1,9,15,6,B,C,C,D,D,통신업
1170,2021,인스코비,006490,C,D,717,-24,-24,51,53,-2,435,659,659,0,549,65.96,23.83,-3.34728033472803,7.4,5.48,9.75,48,619,0,5.1,109848,0.0,0,24.0484429065744,-14,0.0,-1.61717652849966,7,2,0.285714285714286,0,11,0,0.0,408489000,153032000,46,20,46,20,66,30.3030303,69.6969697,1.0,1.0,5456949,4.97,347119996000,109848100,5,5,5,0,0,0,0.602376599634369,1,0,0.0,5,5,8,15,3,D,C,D,C,D,통신업
1171,2022,인스코비,006490,D,D,767,-14,-14,-74,-72,-2,381,631,630,1,560,60.48,16.34,-1.82529335071708,-9.43,-7.04,-11.22,-65,582,0,2.22,112009,0.0,0,6.97350069735008,10,0.0,1.52198698401095,7,2,0.285714285714286,0,13,0,0.0,266753000,96342000,42,11,42,11,53,20.75471698,79.24528302,1.0,1.0,4090330,3.65,144491064330,112008577,5,5,5,0,0,0,0.623517786561265,1,0,0.0,5,9,8,15,3,C,C,D,B,D,통신업
1172,2023,인스코비,006490,B,0,998,4,4,-303,-302,-1,381,384,384,-1,579,99.44,-33.13,0.400801603206413,-30.23,-34.11,-59.52,-260,350,0,3.5,115879,0.0,0,30.1173402868318,18,0.0,2.22609495392349,7,2,0.285714285714286,0,14,0,0.0,266823000,91344000,38,15,38,15,53,28.30188679,71.69811321,1.0,1.0,4876796,4.22,141794840259,115562217,5,5,5,0,0,0,0.501960784313726,1,0,0.0,5,10,9,15,6,B,C,C,B+,D,통신업
1173,2019,대림통상,006570,0,B,1836,-25,-25,-117,-116,-1,878,917,914,3,164,95.69,456.63,-1.36165577342048,-6.34,-6.18,-11.77,-765,6005,140,0.69,15225,3.4,0,0.0,-93,0.0,0.0,0,0,0.0,0,12,2,16.6666666666667,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,62727000000,15225000,5,5,5,0,0,0,0.510863509749304,1,0,0.0,4,3,6,15,3,,,,,,기계
1174,2020,대림통상,006570,B,C,1566,-69,-69,-128,-127,-1,832,764,762,2,164,108.89,366.84,-4.40613026819923,-8.11,-7.55,-15.15,-834,5036,0,0.79,15225,0.0,0,-14.7058823529412,-44,-3.4,-3.04447449477875,5,2,0.4,0,12,2,16.6666666666667,140000000,128000000,192,66,202,69,271,25.46125461,74.53874539,0.95049505,0.956521739,198401,1.3,60519375000,15225000,5,5,5,0,0,0,0.478396994364433,1,0,0.0,4,2,8,15,5,C,C,D,D,D,기계
1175,2021,대림통상,006570,C,D,1552,29,29,3,3,1,897,761,758,3,164,117.77,365.4,1.86855670103093,0.18,0.21,0.37,19,5021,0,0.7,15225,0.0,0,-0.893997445721584,98,0.0,6.27468696923016,4,1,0.25,0,11,2,18.1818181818182,154000000,126000000,176,60,191,66,257,25.68093385,74.31906615,0.921465969,0.909090909,126222,0.83,53668125000,15225000,5,5,5,0,0,0,0.458986731001206,1,0,0.0,4,8,8,15,5,C,C,D,B,D,기계
1176,2022,대림통상,006570,D,D,1741,70,70,38,38,0,915,803,800,4,164,113.86,390.69,4.02067777139575,2.18,2.27,4.87,249,5294,30,0.67,15225,0.84,0,12.1778350515464,41,0.84,2.15212107036482,4,1,0.25,0,12,2,16.6666666666667,135000000,98000000,179,58,194,64,258,24.80620155,75.19379845,0.922680412,0.90625,119327,0.78,54353250000,15225000,5,5,5,0,0,0,0.467403958090803,1,0,0.0,4,11,8,15,6,B,C,D,A+,D,기계
1177,2023,대림통상,006570,D,0,1457,-49,-49,-80,-80,0,1062,710,706,4,164,149.53,333.78,-3.36307481125601,-5.47,-4.56,-10.58,-523,4680,0,0.64,15225,0.0,0,-16.3124641010913,-119,-0.84,-7.38375258265176,4,1,0.25,0,12,2,16.6666666666667,148000000,105000000,173,59,188,64,252,25.3968254,74.6031746,0.920212766,0.921875,119075,0.78,45294375000,15225000,5,5,5,0,0,0,0.400903444381705,1,0,0.0,4,1,8,15,5,C,C,D,D,D,기계
1178,2019,대한유화,006650,0,B,20743,1138,1138,1063,1063,0,2479,17786,17786,0,410,13.94,4246.95,5.48618811165212,5.13,5.3,6.11,16360,274192,2500,0.43,6500,2.13,1,0.0,-93,0.0,0.0,0,0,0.0,0,20,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,763750000000,6500000,5,5,5,0,1,0,0.87767086109055,3,7,0.84,12,3,8,15,1,,,,,,화학
1179,2020,대한유화,006650,B,B,18827,1702,1702,1272,1272,0,2334,18941,18941,0,410,12.32,4528.68,9.04020821161099,6.76,6.13,6.93,19576,291963,3000,0.79,6500,1.3,1,-9.23685098587476,564,-0.83,3.55402009995886,6,3,0.5,0,21,0,0.0,110000000,59000000,787,28,795,28,823,3.40218712,96.59781288,0.989937107,1.0,1144560,17.61,1495000000000,6500000,1,1,1,0,1,0,0.890251927053958,3,7,0.82,12,7,11,3,2,D,A,B,B,B+,화학
1180,2021,대한유화,006650,B,C,25149,1794,1794,1499,1499,0,4497,20291,20291,0,410,22.16,4857.98,7.13348443278063,5.96,6.51,7.64,23067,312734,3500,0.59,6500,1.91,1,33.5794337918946,92,0.61,-1.90672377883036,5,3,0.6,0,20,0,0.0,114000000,66000000,797,26,809,26,835,3.113772455,96.88622754,0.985166873,1.0,799976,12.31,1189500000000,6500000,1,1,1,0,1,0,0.818548549759974,3,7,0.85,12,9,12,3,2,D,A+,A,B,B+,화학
1181,2022,대한유화,006650,C,B+,22221,-2146,-2146,-1491,-1491,0,3339,18620,18620,0,410,17.93,4450.22,-9.65753116421403,-6.71,-6.38,-7.66,-22931,287014,1000,0.6,6500,0.58,1,-11.642610044137,-3940,-1.33,-16.7910155969947,8,5,0.625,0,22,1,4.54545454545455,100000000,57000000,819,24,836,26,862,3.016241299,96.9837587,0.979665072,0.923076923,386617,5.95,1114750000000,6500000,1,1,5,0,1,0,0.847982512068494,3,7,0.83,12,1,11,7,2,D,B+,B,D,B+,화학
1182,2023,대한유화,006650,B+,A,25000,-623,-623,-290,-290,0,3717,18248,18248,0,410,20.37,4359.58,-2.492,-1.16,-1.32,-1.58,-4468,281297,1000,0.54,6500,0.65,0,12.5061878403312,1523,0.0700000000000001,7.16553116421403,7,4,0.571428571428571,0,21,1,4.76190476190476,100000000,58000000,747,26,801,26,827,3.143893591,96.85610641,0.93258427,1.0,501858,7.72,994500000000,6500000,5,5,5,0,1,0,0.83077623491919,3,7,0.81,12,11,11,15,2,D,C,B,A+,B+,화학
1183,2019,삼성공조,006660,0,C,752,-41,-41,50,48,3,397,2187,2171,17,41,18.14,5254.47,-5.45212765957447,6.32,1.94,2.21,585,26772,60,0.3,8126,0.75,0,0.0,-93,0.0,0.0,0,0,0.0,0,9,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,64929248860,8126314,5,5,5,0,1,0,0.846362229102167,1,0,0.0,5,3,5,15,2,,,,,,운수장비
1184,2020,삼성공조,006660,C,C,638,-13,-13,54,54,0,356,2226,2210,15,41,16.0,5352.31,-2.03761755485893,8.46,2.09,2.46,664,27262,80,0.26,8126,1.11,0,-15.1595744680851,28,0.36,3.41451010471554,4,1,0.25,0,8,0,0.0,39240000,44331000,114,40,144,42,186,22.58064516,77.41935484,0.791666667,0.952380952,679464,8.36,58671987080,8126314,5,5,5,0,1,0,0.862122385747483,1,0,0.0,5,8,8,15,5,C,C,D,B,D,운수장비
1185,2021,삼성공조,006660,C,C,796,12,12,-25,-25,0,378,2198,2181,17,41,17.18,5278.9,1.50753768844221,-3.12,-0.96,-1.13,-306,26895,80,0.62,8126,0.48,0,24.7648902821317,25,-0.63,3.54515524330115,4,1,0.25,0,8,0,0.0,41382000,47909000,102,33,130,35,165,21.21212121,78.78787879,0.784615385,0.942857143,161484,1.99,136522075200,8126314,5,5,5,0,1,0,0.853592233009709,1,0,0.0,6,10,8,15,4,C,C,D,B+,C,운수장비
1186,2022,삼성공조,006660,C,C,957,87,87,410,409,1,498,2589,2572,17,41,19.23,6241.48,9.09090909090909,42.73,14.47,17.22,5034,31707,80,0.31,8126,0.82,0,20.2261306532663,75,0.34,7.58337140246688,4,1,0.25,0,8,0,0.0,42809000,53464000,103,23,126,25,151,16.55629139,83.44370861,0.817460317,0.92,90293,1.11,79231561500,8126314,5,5,5,0,1,0,0.838678328474247,1,0,0.0,6,11,7,15,3,C,C,D,A+,C,운수장비
1187,2023,삼성공조,006660,C,0,1259,54,54,141,138,3,423,2712,2692,20,41,15.58,6576.25,4.28911834789516,10.97,4.53,5.25,1699,33381,60,0.26,8126,0.69,0,31.5569487983281,-33,-0.13,-4.80179074301394,4,1,0.25,0,8,0,0.0,47000000,48000000,86,20,116,44,160,27.5,72.5,0.74137931,0.454545455,119239,1.47,71023984360,8126314,5,5,5,0,1,0,0.865347798340779,1,0,0.0,6,4,7,15,5,C,C,D,C,C,운수장비
1188,2022,서부T&D,006730,0,D,1353,192,192,254,167,87,12489,8168,6795,1373,302,152.9,2208.22,14.1906873614191,12.34,1.23,2.48,248,10338,45,0.68,67427,0.63,0,0.0,-93,0.0,0.0,5,2,0.4,0,11,0,0.0,226908000,147634000,194,108,329,239,568,42.07746479,57.92253521,0.589665653,0.451882845,6734666,11.15,467493716700,60399705,5,5,5,0,0,0,0.395410756644237,3,0,0.0,10,3,13,15,6,B,C,A,C,B,숙박·음식
1189,2023,서부T&D,006730,D,0,1692,372,372,1474,1383,91,13507,9972,8593,1379,308,135.45,2765.85,21.9858156028369,81.78,6.68,17.98,2052,13083,45,0.55,67427,0.63,0,25.0554323725055,180,0.0,7.79512824141781,5,2,0.4,0,13,0,0.0,229173000,172155000,175,95,370,269,639,42.0970266,57.9029734,0.472972973,0.353159851,6668613,10.83,443255335200,61563241,5,5,5,0,0,0,0.424701873935264,3,0,0.0,10,10,13,15,6,B,C,A,B+,B,숙박·음식
1190,2019,영풍제지,006740,0,B,997,109,109,93,93,0,198,1197,1195,2,111,16.58,1020.82,10.9327983951856,9.31,6.66,8.05,180,2409,17,0.56,51644,1.28,0,0.0,-93,0.0,0.0,0,0,0.0,0,8,1,12.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,69153000000,22200000,5,5,5,0,1,0,0.858064516129032,1,0,0.0,4,3,4,15,2,,,,,,종이목재
1191,2020,영풍제지,006740,B,B,982,102,102,85,85,0,756,1265,1264,2,111,59.71,1093.5,10.3869653767821,8.7,4.99,6.94,165,2565,17,1.07,51644,0.63,0,-1.50451354062187,-7,-0.65,-0.54583301840348,6,2,0.333333333333333,0,7,0,0.0,75000000,45000000,86,7,86,11,97,11.34020619,88.65979381,1.0,0.636363636,129024,0.58,141636000000,22200000,1,1,2,0,1,0,0.625927758535379,1,0,0.0,5,3,7,4,4,C,A,D,C,D,종이목재
